TEMP_SERIAL,MODEL_CODE, MODEL_NAME, ACCESSORIES_LIST, INSERT_DT
PT-VMZ50U7,,,,2020-02-13 11:12:51,
PT-VMZ50U7,003,PT-VMZ50U7,DPQW1317ZA/AS;DPQV1035ZA/AS;DPQV1031ZA/V1;DPQX1453ZA/V1;DPQX1454ZA/V1;R03NWD/2SK;1AA2SRZ0013A-,2020-02-13 11:39:42,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS;DPQV1031ZA/V1;DPQX1453ZA/V1;DPQX1454ZA/V1;R03NWD/2SK;1AA2SRZ0013A-,2020-02-13 15:21:08,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 15:25:21,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 15:28:49,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 15:35:29,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 16:02:28,
DPQV1035ZA/AS,003,PT-VMZ50U7,PT02,DPQW1317ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 16:05:46,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/ASDPQW1317ZA/AS;DPQV1035ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 16:25:49,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 16:30:54,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 16:32:34,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 17:21:40,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 17:27:10,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-13 17:28:49,
