LINE_NAME,MODEL_CODE,KITTING_LIST, TEMP_SERIAL,PCBID, OPTICAL, INSERT_DT
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAA,2020-05-28 13:58:41,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAA,2020-05-28 13:58:41,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,ÂAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAA,2020-05-28 14:02:19,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,ÂAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAA,2020-05-28 14:04:32,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,ÂAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAA,2020-05-28 14:04:32,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAA;AAAAAAAAAA;AAAAAAAAAAAA,AAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAA,2020-05-28 14:07:01,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAA;AAAAAAAAAA;AAAAAAAAAAAA,AAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAA,2020-05-28 14:07:01,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAA;AAAAAAAAAAAAA;AAAAAAAAAAAAAA;DFFFFFFFFFDFDF;DFFFFFFFFFFFFF,AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAA,2020-05-28 14:16:51,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,AAAAAAAAAAAAA;AAAAAAAAAAAAA;AAAAAAAAAAAAAA;DFFFFFFFFFDFDF;DFFFFFFFFFFFFF,AAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAA,2020-05-28 14:16:51,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD;SDDDDDDDDDDDDDD;FGGGGGGGGGGGGGGG;FGGGGGGGGGGG,SDDDDDDDDDDDDD;SDDDDDDDDDDDDDDDD,2020-05-28 14:20:17,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD;SDDDDDDDDDDDDDD;FGGGGGGGGGGGGGGG;FGGGGGGGGGGG,SDDDDDDDDDDDDD;SDDDDDDDDDDDDDDDD,2020-05-28 14:20:17,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,ASSSSSSSSSSSS;ASSSSSSSSSSSS;ASSSSSSSSSSSS,ASSSSSSSSSSSSSS;ASSSSSSSSSSSSS,2020-05-28 14:24:19,
PT02,003,KITTING NOT SETTING IN PROCESS2,202006003001311,ASSSSSSSSSSSS;ASSSSSSSSSSSS;ASSSSSSSSSSSS,ASSSSSSSSSSSSSS;ASSSSSSSSSSSSS,2020-05-28 14:24:19,
