LINE_NAME,MODEL_CODE,KITTING_LIST, TEMP_SERIAL,PCBID, OPTICAL, INSERT_DT
PT02,060,KITTING NOT SETTING IN PROCESS,202007060005010,202007060000010;202007060000010;202007060000010;202007060000010;202007060000010,NOT,2020-07-15 13:38:47,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060005010,202007060000010;202007060000010;202007060000010;202007060000010;202007060000010,NOT,2020-07-15 13:38:47,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060005010,202007060000010;202007060000010;202007060000010;202007060000010;202007060000010;JKJJJJJJJJJJJJ;JKKKKKKKKKKKK;JKKKKKKKKKKKKK;JKKKKKKKKKKKKK,NOT,2020-07-15 13:39:48,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060005010,202007060000010;202007060000010;202007060000010;202007060000010;202007060000010;JKJJJJJJJJJJJJ;JKKKKKKKKKKKK;JKKKKKKKKKKKKK;JKKKKKKKKKKKKK,NOT,2020-07-15 13:39:48,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060006010,202007060005010;202007060005010;202007060005010;202007060005010;202007060005010,202007060005010;202007060005010;202007060005010,2020-07-15 13:47:07,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060006010,202007060005010;202007060005010;202007060005010;202007060005010;202007060005010,202007060005010;202007060005010;202007060005010,2020-07-15 13:47:07,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060007010,LEN11111111111,OP111111111;OP111111111;OP111111111,2020-07-15 16:33:40,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060007010,LEN11111111111,OP111111111;OP111111111;OP111111111,2020-07-15 16:33:40,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060008010,LEN1111111111111,OP11111111111;OP11111111111;OP11111111111,OP2222222222;OP2222222222,LEN11111111111112020-07-15 17:00:04,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060008010,LEN1111111111111,OP11111111111;OP11111111111;OP11111111111,OP2222222222;OP2222222222,LEN11111111111112020-07-15 17:00:04,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060009010,202007060008010,202007060008010;202007060008010;202007060008010,202007060008010;202007060008010,2020070600080102020-07-15 17:08:23,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060009010,202007060008010,202007060008010;202007060008010;202007060008010,202007060008010;202007060008010,2020070600080102020-07-15 17:08:23,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060003010,202007060009010,202007060009010;202007060009010;202007060009010,202007060009010;202007060009010,2020070600090102020-07-15 17:11:29,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060003010,202007060009010,202007060009010;202007060009010;202007060009010,202007060009010;202007060009010,2020070600090102020-07-15 17:11:44,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060002010,202007060009010,202007060009010;202007060009010;202007060009010,202007060009010;202007060009010,2020070600090102020-07-15 17:14:40,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060002010,202007060009010,202007060009010;202007060009010;202007060009010,202007060009010;202007060009010,2020070600090102020-07-15 17:14:40,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060002110,202007060002010,202007060002010;202007060002010;202007060002010,202007060002010;202007060002010,2020070600020102020-07-15 17:18:56,
PT02,060,KITTING NOT SETTING IN PROCESS,202007060002110,202007060002010,202007060002010;202007060002010;202007060002010,202007060002010;202007060002010,2020070600020102020-07-15 17:18:56,
